id,gametask_name,AppID,Name
1440,2084940_mysteriousschool,2084940,Mysterious School
1441,2369140_,2010310,369
1442,887800_snooker,887800,Snooker 19
1443,1549060_waifuimpact,1549060,WAIFU IMPACT
1444,1057770_storyofonenight,1057770,Story of one Night
1445,1145630_beastfalseprophet,2218680,Interregnum: False Prophet
1446,878670_shenmueiii,878670,Shenmue III
1447,2071500_IslandsofInsight,2071500,Islands of Insight
1448,1599660_SackboyABigAdventure,1599660,Sackboy™: A Big Adventure
1449,846470_Moss,846470,Moss
1450,893950_russiasimulator,893950,RUSSI.A SIMULATOR
1451,1077290_supersmashphysicsbattle,1077290,SuperSmash: Physics Battle
1452,1051310_paperdollsoriginal,1051310,Paper Dolls: Original / 纸人
1453,939850_thedarkpicturesanthologymanofmedan,939850,The Dark Pictures Anthology: Man of Medan
1454,1588560_theswordsmenxsurvival,1588560,The Swordsmen X: Survival
1455,2144740_ghostrunner,2144740,Ghostrunner 2
1456,1159420_robinhoodsherwoodbuilders,1159420,Robin Hood - Sherwood Builders
1457,960740_girlscivilization,960740,Girls' civilization
1458,2223840_thecastingoffrankstone,2223840,The Casting of Frank Stone™
1459,2172010_untildawn,2172010,Until Dawn™
1460,1170950_mortalonline,1170950,Mortal Online 2
1461,985830_succubus,985830,SUCCUBUS
1462,2552450_kingdomheartsiiireminddlc,2552450,KINGDOM HEARTS III + Re Mind (DLC)
1463,1214470_hotelrenovator,1214470,Hotel Renovator
1464,1310410_aloneinthedark,1310410,Alone in the Dark
1465,1222370_necromundahiredgun,1222370,Necromunda: Hired Gun
1466,623280_dungeonsdragonsdarkalliance,623280,Dungeons & Dragons: Dark Alliance
1467,1922060_brvrbackroomsvirtualreality,1922060,BrVR Backrooms Virtual Reality
1468,1947500_thewalkingdeadsaintssinnerschapterretribution,1947500,The Walking Dead: Saints & Sinners - Chapter 2: Retribution
1469,2186700_contain,2186700,Contain
1470,1293160_themedium,1293160,The Medium
1471,1524370_astelliaroyal,1071800,Caterpillar Royale
1472,2903950_masterdetectivearchivesraincodeplus,2903950,Master Detective Archives: RAIN CODE Plus
1473,1106750_faultelderorb,1106750,Fault: Elder Orb
1474,1589120_abovesnakes,1589120,Above Snakes
1475,696650_blackday,696650,BLACK DAY
1476,1563180_internetcafesimulator2,1563180,Internet Cafe Simulator 2
1477,968870_closetothesun,968870,Close to the Sun
1478,1839940_dakardesertrally,1839940,Dakar Desert Rally
1479,2184150_deadmatter,2184150,Dead Matter
1480,928960_godfallultimateedition,928960,Godfall Ultimate Edition
1481,1981610_wanteddead,1981610,Wanted: Dead
1482,2233120_aquietplacetheroadahead,2233120,A Quiet Place: The Road Ahead
1483,722180_survv,659120,Survive
1484,1214650_southparksnowday,1214650,SOUTH PARK: SNOW DAY!
1485,1265780_thelordoftheringsgollum,1265780,The Lord of the Rings: Gollum™
1486,1184050_gearstactics,1184050,Gears Tactics
1487,1097050_thefightofescaper,1097050,The Fight Of Escaper
1488,1566690_outpostinfinitysiege,1566690,Outpost: Infinity Siege
1489,1636030_crossfiresierrasquad,1636030,Crossfire: Sierra Squad
1490,MyAvatar,1175690,MyStar
1491,792300_thebeastinside,792300,The Beast Inside
1492,1816670_gundamevolution,1816670,GUNDAM EVOLUTION
1493,2235820_jackholmesmasterofpuppets,2235820,Jack Holmes : Master of Puppets
